日付,商品名,カテゴリ,担当者,地域,顧客タイプ,顧客ID,チャネル,数量,売上金額,原価,利益額,利益率(%),キャンペーン
2022-01-06,年間保守契約,Support,小林 美咲,広島,官公庁,ENT-0035,直販,1,1078433,205827,872606,80.9,
2022-01-07,年間保守契約,Support,橋本 彩子,広島,大手企業,ENT-0040,直販,1,1570438,274753,1295685,82.5,
2022-01-11,データ分析基盤構築,Software,橋本 彩子,広島,大手企業,ENT-0031,直販,1,4598247,1051880,3546367,77.1,
2022-01-11,データ分析基盤構築,Software,伊藤 大介,東京,大手企業,ENT-0038,直販,1,4847784,1018161,3829623,79.0,
2022-01-12,ライセンス（追加）,License,木村 誠司,仙台,官公庁,ENT-0028,代理店,1,661461,317927,343534,51.9,
2022-01-20,ヘルプデスク運用,Support,中島 健太,福岡,大手企業,ENT-0007,直販,1,345088,105627,239461,69.4,
2022-01-25,エンタープライズERP,Software,小林 美咲,東京,大手企業,ENT-0009,代理店,1,9555287,1954100,7601187,79.5,
2022-02-01,年間保守契約,Support,伊藤 大介,福岡,大手企業,ENT-0012,直販,1,1559855,270425,1289430,82.7,
2022-02-02,年間保守契約,Support,木村 誠司,仙台,大手企業,ENT-0035,直販,1,1434217,253409,1180808,82.3,
2022-02-05,クラウド移行支援,Consulting,木村 誠司,大阪,中堅企業,ENT-0043,直販,1,3722897,919760,2803137,75.3,
2022-02-16,年間保守契約,Support,橋本 彩子,大阪,大手企業,ENT-0014,直販,1,1459153,275271,1183882,81.1,
2022-02-18,ライセンス（追加）,License,木村 誠司,東京,中堅企業,ENT-0004,直販,1,629282,295893,333389,53.0,
2022-02-20,年間保守契約,Support,橋本 彩子,福岡,官公庁,ENT-0039,紹介,1,1202711,218065,984646,81.9,
2022-02-22,セキュリティ監査,Consulting,橋本 彩子,大阪,大手企業,ENT-0019,紹介,1,2383518,681249,1702269,71.4,
2022-02-23,セキュリティ監査,Consulting,伊藤 大介,福岡,中堅企業,ENT-0002,直販,1,1854092,534537,1319555,71.2,
2022-02-24,データ分析基盤構築,Software,伊藤 大介,名古屋,外資系,ENT-0006,直販,1,4957923,1026337,3931586,79.3,
2022-03-01,セキュリティ監査,Consulting,斎藤 里奈,福岡,大手企業,ENT-0022,直販,1,2708205,755031,1953174,72.1,年度末商談
